"timestamp","rssi","echo_time",1
"03:45:33",-20,14.78,2
"01:23:51",-19,14.78,1
"01:35:39",-7,14.78,1
"07:10:53",-6,14.78,3
"04:18:42",-23,14.78,2
"06:28:37",-23,14.78,3
"04:00:01",-20,14.78,2
"06:38:43",-21,14.79,3
"06:42:50",-13,14.79,3
"04:08:27",-21,14.79,2
"06:26:43",-22,14.79,3
"06:22:36",-20,14.79,3
"06:49:25",-21,14.79,3
"07:13:01",-17,14.79,3
"04:06:37",-21,14.79,2
"07:15:42",-21,14.79,3
"00:55:22",-20,14.79,1
"00:00:27",-22,14.79,1
"07:37:19",-16,14.8,3
"00:12:59",-20,14.8,1
"07:15:11",-21,14.8,3
"01:32:05",-20,14.8,1
"00:12:56",-20,14.8,1
"01:05:05",-22,14.8,1
"07:10:46",-12,14.8,3
"03:30:28",-20,14.8,2
"00:51:44",-18,14.8,1
"01:35:47",-23,14.81,1
"00:32:02",-19,14.81,1
"03:19:52",-18,14.81,2
"03:54:07",-23,14.81,2
"07:31:03",-18,14.81,3
"04:06:21",-17,14.81,2
"03:45:39",-20,14.81,2
"06:15:09",-16,14.81,3
"04:28:01",-19,14.81,2
"00:44:44",-20,14.81,1
"01:39:56",-23,14.81,1
"07:36:09",-12,14.81,3
"01:09:29",-23,14.81,1
"04:31:47",-22,14.81,2
"01:24:02",-21,14.81,1
"04:07:06",-20,14.81,2
"04:32:23",-20,14.81,2
"01:00:44",-21,14.82,1
"04:31:27",-21,14.82,2
"03:54:16",-20,14.82,2
"03:18:42",-17,14.82,2
"07:26:39",-6,14.82,3
"06:28:19",-20,14.82,3
"06:15:29",-20,14.82,3
"00:37:20",-17,14.83,1
"07:32:55",-16,14.83,3
"03:25:07",-22,14.83,2
"01:14:05",-23,14.83,1
"03:52:37",-24,14.83,2
"01:36:27",-20,14.83,1
"00:19:26",-22,14.83,1
"01:05:20",-18,14.83,1
"00:24:27",-19,14.83,1
"03:43:43",-22,14.83,2
"06:16:35",-17,14.83,3
"04:00:47",-18,14.83,2
"03:39:20",-21,14.83,2
"01:24:22",-20,14.83,1
"00:22:35",-22,14.83,1
"01:15:01",-22,14.83,1
"06:39:09",-22,14.83,3
"07:16:34",-12,14.83,3
"06:25:40",-21,14.84,3
"04:36:57",-20,14.84,2
"03:38:00",-21,14.84,2
"00:32:22",-24,14.84,1
"01:00:15",-23,14.84,1
"01:35:00",-7,14.84,1
"03:16:05",-18,14.84,2
"04:03:52",-17,14.84,2
"06:18:44",-19,14.84,3
"04:38:16",-25,14.84,2
"00:54:00",-22,14.84,1
"01:32:03",-20,14.84,1
"00:05:56",-23,14.84,1
"01:07:47",-4,14.84,1
"04:09:27",-18,14.84,2
"07:20:16",-8,14.84,3
"03:37:18",-20,14.84,2
"00:39:48",-20,14.84,1
"04:32:10",-20,14.84,2
"00:02:18",-21,14.84,1
"06:14:16",-21,14.84,3
"00:57:03",-20,14.84,1
"04:04:17",-23,14.84,2
"00:35:19",-21,14.84,1
"04:28:10",-23,14.84,2
"03:52:12",-19,14.84,2
"04:02:53",-27,14.85,2
"03:28:15",-21,14.85,2
"03:26:42",-22,14.85,2
"04:31:33",-14,14.85,2
"03:51:26",-24,14.85,2
"06:36:14",-21,14.85,3
"04:37:14",-23,14.85,2
"04:18:30",-21,14.85,2
"01:32:06",-22,14.85,1
"04:08:35",-21,14.85,2
"01:26:44",-21,14.85,1
"04:03:47",-19,14.85,2
"00:53:57",-19,14.85,1
"07:22:44",-14,14.85,3
"01:17:50",-18,14.85,1
"06:12:04",-16,14.85,3
"04:20:12",-21,14.85,2
"04:17:38",-21,14.85,2
"07:05:54",-22,14.86,3
"07:37:49",-19,14.86,3
"01:21:39",-5,14.86,1
"06:20:27",-22,14.86,3
"00:06:44",-16,14.86,1
"04:24:27",-17,14.86,2
"06:24:21",-21,14.86,3
"03:23:29",-24,14.86,2
"04:16:06",-23,14.86,2
"06:02:48",-20,14.86,3
"03:27:00",-23,14.86,2
"06:06:45",-21,14.87,3
"01:37:25",-17,14.87,1
"00:17:46",-20,14.87,1
"00:50:50",-20,14.87,1
"04:39:35",-21,14.87,2
"03:19:05",-23,14.87,2
"00:17:08",-21,14.87,1
"01:39:10",-18,14.87,1
"07:34:27",-9,14.87,3
"01:16:07",-22,14.87,1
"03:25:43",-23,14.87,2
"03:29:03",-16,14.87,2
"00:12:48",-22,14.87,1
"00:59:11",-16,14.88,1
"04:37:45",-18,14.88,2
"03:14:12",-21,14.88,2
"01:28:11",-21,14.88,1
"07:09:03",-14,14.88,3
"06:10:05",-21,14.88,3
"03:36:02",-19,14.88,2
"01:03:44",-22,14.88,1
"07:04:50",-12,14.88,3
"01:08:28",-21,14.88,1
"03:49:05",-21,14.88,2
"01:10:21",-17,14.88,1
"07:37:29",-14,14.88,3
"07:37:05",-15,14.88,3
"06:27:06",-16,14.89,3
"06:13:55",-18,14.89,3
"03:41:41",-19,14.89,2
"01:00:48",-22,14.89,1
"03:25:55",-21,14.89,2
"04:26:30",-22,14.89,2
"03:45:35",-20,14.89,2
"03:51:11",-21,14.89,2
"01:36:12",-20,14.89,1
"04:38:26",-22,14.9,2
"01:32:16",-21,14.9,1
"06:01:42",-19,14.9,3
"01:37:48",-22,14.9,1
"01:13:53",-23,14.9,1
"01:19:24",-22,14.9,1
"06:17:34",-20,14.9,3
"03:20:35",-22,14.9,2
"00:05:08",-22,14.91,1
"04:07:08",-22,14.91,2
"04:31:10",-21,14.91,2
"06:29:15",-24,14.91,3
"04:34:32",-23,14.91,2
"00:49:54",-22,14.91,1
"07:33:40",-18,14.91,3
"03:39:47",-21,14.92,2
"06:45:45",-11,14.92,3
"03:33:47",-22,14.93,2
"00:09:24",-22,14.93,1
"06:27:18",-16,14.93,3
"01:19:10",-18,14.94,1
"06:04:20",-25,14.94,3
"03:47:33",-22,14.97,2
"03:51:43",-22,15.03,2
"03:03:01",-19,15.2,2
"00:32:06",-21,15.22,1
"03:50:45",-17,15.28,2
"00:02:29",-21,15.32,1
"03:23:50",-21,15.39,2
"03:55:06",-20,15.43,2
"03:13:25",-21,15.55,2
"06:53:28",-18,15.56,3
"03:06:33",-20,15.56,2
"03:11:42",-17,15.57,2
"03:04:43",-20,15.59,2
"03:12:26",-20,15.59,2
"03:11:18",-23,15.62,2
"01:20:21",-8,15.76,1
"06:13:56",-15,15.98,3
"03:19:22",-20,15.98,2
"06:12:09",-18,16,3
"01:22:01",-24,16,1
"03:42:00",-20,16,2
"06:11:03",-20,16.01,3
"07:15:09",-6,16.01,3
"00:10:09",-21,16.01,1
"00:02:39",-19,16.02,1
"07:03:17",-12,16.02,3
"00:17:04",-24,16.03,1
"00:37:57",-23,16.03,1
"06:27:33",-22,16.03,3
"04:11:58",-19,16.03,2
"01:29:51",-23,16.03,1
"01:15:22",-18,16.03,1
"03:33:51",-20,16.03,2
"03:43:57",-20,16.03,2
"04:31:11",-18,16.03,2
"00:58:48",-23,16.03,1
"00:03:50",-21,16.03,1
"01:31:11",-22,16.03,1
"04:23:42",-19,16.03,2
"06:26:29",-19,16.04,3
"06:21:06",-15,16.04,3
"07:28:19",-19,16.04,3
"06:27:58",-19,16.04,3
"04:11:49",-18,16.04,2
"04:20:01",-19,16.04,2
"01:24:57",-22,16.04,1
"00:42:49",-21,16.04,1
"00:45:47",-20,16.04,1
"01:36:19",-20,16.05,1
"01:30:45",-20,16.05,1
"06:33:45",-20,16.05,3
"01:32:36",-19,16.05,1
"01:38:33",-19,16.05,1
"01:17:51",-20,16.05,1
"06:30:53",-23,16.05,3
"06:00:39",-23,16.05,3
