"rssi","echo_time","01"
-37,213.51,"09"
-36,131.15,"09"
-35,201.13,"09"
-35,259.85,"09"
-35,54.91,"09"
-35,204.88,"09"
-35,37.4,"09"
-34,203.59,"09"
-34,129.85,"09"
-34,199.81,"09"
-34,22.45,"09"
-34,132.35,"09"
-34,137.35,"09"
-35,122.37,"09"
-35,13.61,"09"
-34,178.59,"09"
-36,139.84,"09"
-35,228.61,"09"
-32,19.9,"09"
-35,126.1,"09"
-35,137.38,"09"
-34,154.8,"09"
-36,138.56,"09"
-35,173.55,"09"
-35,152.21,"09"
-34,214.89,"09"
-37,107.36,"09"
-37,138.59,"09"
-33,24.84,"09"
-35,22.37,"09"
-36,134.91,"09"
-33,126.08,"09"
-36,13.58,"09"
-36,16.08,"09"
-35,246.11,"09"
-34,18.6,"09"
-35,136.03,"09"
-34,22.4,"09"
-35,138.46,"09"
-36,108.6,"09"
-35,123.5,"09"
-35,61.07,"09"
-34,84.79,"09"
-35,174.83,"09"
-35,217.33,"09"
-35,82.31,"09"
-35,119.87,"09"
-33,127.39,"09"
-35,136.08,"09"
-35,23.58,"09"
-35,233.54,"09"
-33,224.96,"09"
-36,156.1,"09"
-35,149.8,"09"
-34,260.61,"09"
-34,146.07,"09"
-34,148.55,"09"
-35,139.84,"09"
-36,117.32,"09"
-35,71.11,"09"
-34,22.32,"09"
-36,38.6,"09"
-34,136.7,"09"
-37,129.81,"09"
-35,13.51,"09"
-37,179.83,"09"
-34,21.11,"09"
-34,108.61,"09"
-37,126.11,"09"
-34,79.75,"09"
-34,32.42,"09"
-34,14.53,"09"
-35,137.3,"08"
-31,23.62,"08"
-33,13.59,"08"
-33,19.79,"08"
-32,16.05,"08"
-34,26.05,"08"
-35,141.01,"08"
-31,18.58,"08"
-32,12.34,"08"
-33,77.33,"08"
-35,11.05,"08"
-36,196.16,"08"
-30,83.61,"08"
-31,31.09,"08"
-34,31.17,"08"
-35,78.59,"08"
-33,26.08,"08"
-34,18.6,"08"
-33,34.86,"08"
-30,16.07,"08"
-35,83.85,"08"
-35,71.21,"08"
-29,38.58,"08"
-34,144.78,"08"
-31,17.32,"08"
-28,28.57,"08"
-36,154.9,"08"
-35,27.42,"08"
-33,134.83,"08"
-34,88.53,"08"
-35,134.83,"08"
-30,7.72,"08"
-34,29.82,"08"
-31,12.41,"08"
-36,92.37,"08"
-33,42.3,"08"
-30,42.26,"08"
-31,37.33,"08"
-34,43.06,"08"
-34,142.38,"08"
-34,221.09,"08"
-33,86.11,"08"
-30,18.58,"08"
-35,78.61,"08"
-29,33.64,"08"
-34,59.92,"08"
-33,34.87,"08"
-32,39.7,"08"
-31,48.56,"08"
-36,28.48,"08"
-34,42.36,"08"
-30,21.12,"08"
-35,11.06,"08"
-31,38.6,"08"
-36,34.86,"08"
-39,122.2,"08"
-31,48.63,"08"
-29,9.8,"08"
-32,38.62,"08"
-31,12.36,"08"
-33,101.14,"08"
-35,13.56,"08"
-33,132.36,"08"
-35,141.75,"08"
-33,118.62,"08"
-35,197.35,"08"
-35,23.43,"08"
-31,16.13,"08"
-35,316.16,"08"
-34,17.34,"08"
-29,62.36,"08"
-33,18.61,"08"
-31,82.92,"08"
-35,136.09,"08"
-33,112.66,"08"
-35,14.86,"08"
-30,22.38,"08"
-35,86.05,"08"
-31,74.59,"08"
-35,16.14,"08"
-33,101.13,"08"
-32,47.37,"08"
-35,8.64,"08"
-35,158.58,"08"
-35,95.34,"08"
-34,43.6,"08"
-29,18.55,"08"
-30,57.44,"08"
-35,152.41,"08"
-36,168.59,"08"
-33,41.11,"08"
-30,27.29,"08"
-31,32.33,"08"
-31,9.86,"08"
-34,137.28,"08"
-33,39.8,"08"
-33,27.36,"08"
-32,56.08,"08"
-35,17.31,"08"
-32,24.84,"08"
-37,78.28,"08"
-36,132.41,"08"
-32,39.86,"08"
-27,32.37,"08"
-34,12.36,"08"
-34,21.1,"08"
-29,78.58,"08"
-32,12.37,"08"
-33,73.31,"08"
-29,39.79,"08"
-31,36.16,"08"
-33,203.6,"08"
-31,43.81,"08"
-36,17.36,"08"
-31,26.07,"08"
-37,47.35,"08"
-29,19.86,"08"
-35,111.19,"08"
-33,24.85,"08"
-29,36.13,"08"
-37,17.31,"08"
-33,160.64,"08"
-34,117.94,"08"
-36,154.85,"08"
-31,56.1,"08"
-32,29.81,"08"
-33,49.85,"08"
-35,32.33,"08"
-34,342.36,"08"
-32,27.3,"08"
-34,26.13,"08"
-28,17.36,"08"
-36,288.73,"08"
-30,36.09,"08"
-35,138.89,"08"
-29,56.07,"08"
-31,36.1,"08"
-34,36.05,"08"
-34,56.12,"08"
-31,8.6,"08"
-28,144.83,"08"
-33,33.16,"08"
-34,163.58,"08"
-30,47.04,"08"
-31,29.82,"08"
-35,197.33,"08"
-31,43.6,"08"
-36,133.63,"08"
-33,117.27,"08"
-30,132.23,"08"
-33,34.82,"08"
-34,101.16,"08"
-33,41.07,"08"
-33,33.57,"08"
-33,57.35,"08"
-36,92.39,"08"
-32,41.01,"08"
-35,24.68,"08"
-33,14.85,"08"
-29,34.87,"08"
-32,23.61,"08"
-35,58,"08"
-35,149.79,"08"
-33,36.1,"08"
-34,123.55,"08"
-27,44.8,"08"
-35,137.36,"08"
-29,32.4,"08"
-34,26.07,"08"
-30,43.53,"08"
-32,19.82,"08"
-33,32.33,"08"
-34,101.13,"08"
-31,29.86,"08"
-28,141.06,"08"
-34,57.37,"08"
-35,17.25,"08"
-33,28.57,"08"
-34,28.05,"08"
-35,23.63,"08"
-34,31.07,"08"
-34,44.9,"08"
-28,26.06,"08"
-29,48.56,"08"
-33,43.58,"08"
-34,26.15,"08"
-34,133.59,"08"
-29,34.84,"08"
-30,12.36,"08"
-32,9.83,"08"
-36,133.66,"08"
-35,101.08,"08"
-31,19.79,"08"
-34,24.86,"08"
-34,51.08,"08"
-31,12.93,"08"
-29,32.33,"08"
-31,9.82,"08"
-37,392.4,"08"
-30,24.93,"08"
-34,200.17,"08"
-32,157.2,"08"
-32,16.06,"08"
-32,82.36,"08"
-29,7.34,"08"
-29,28.67,"08"
-33,8.57,"08"
-34,46.86,"08"
-36,169.78,"08"
-32,141.09,"08"
-32,29.85,"08"
-36,209.92,"08"
-32,41.07,"08"
-34,44.83,"08"
-32,13.62,"08"
-35,24.76,"08"
-31,37.29,"08"
-32,47.35,"08"
-34,94.35,"08"
-36,117.34,"08"
-32,139.82,"08"
-34,11.15,"08"
-33,48.52,"08"
-36,206.08,"08"
-35,142.33,"08"
-35,134.82,"08"
-34,37.4,"08"
-29,27.33,"08"
-31,52.3,"08"
-32,47.38,"08"
-29,42.34,"08"
-30,7.33,"08"
-35,204.38,"08"
-35,46.72,"08"
-36,178.21,"08"
-28,25.7,"08"
-31,57.33,"08"
-29,9.86,"08"
-34,149.88,"08"
-34,23.5,"08"
-37,322.39,"08"
-29,37.85,"08"
-35,147.36,"08"
-30,22.37,"08"
-34,39.84,"08"
-33,91.05,"08"
-30,7.51,"08"
-31,24.93,"08"
-32,42.35,"08"
-34,89.89,"08"
-31,9.85,"08"
-33,39.83,"08"
-31,12.34,"08"
-36,127.34,"08"
-31,21.11,"08"
-33,41.04,"08"
-30,14.89,"08"
-30,49.84,"08"
-35,21.12,"08"
-35,314.74,"08"
-32,46.1,"08"
-33,41.09,"08"
-30,22.87,"08"
-30,44.84,"08"
-28,8.61,"08"
-31,53.64,"08"
-35,19.89,"08"
-35,83.61,"08"
-34,136.09,"08"
-35,138.97,"08"
-32,81.08,"08"
-34,26.12,"08"
-35,124.81,"08"
-34,137.29,"08"
-34,123.6,"08"
-33,30.57,"08"
-31,216.11,"08"
-30,31.69,"08"
-33,9.81,"08"
-32,6.1,"08"
-31,16.67,"08"
-33,43.55,"08"
-34,196.08,"08"
-34,166.13,"08"
-32,56.11,"08"
-32,8.63,"08"
-34,96.04,"08"
-34,29.88,"08"
-35,184.82,"08"
-30,28.61,"08"
-31,13.55,"08"
-33,19.84,"08"
-36,126.09,"08"
-32,168.35,"08"
-31,24.86,"08"
-33,16.16,"08"
-29,15.57,"08"
-32,18.57,"08"
-33,16.1,"08"
-30,41.12,"08"
-35,23.52,"08"
-34,114.1,"08"
-34,162.17,"08"
-34,97.35,"08"
-33,22.84,"08"
-28,7.3,"08"
-33,47.4,"08"
-28,38.53,"08"
-34,39.94,"08"
-30,17.89,"08"
-35,137.35,"08"
-30,30.47,"08"
-34,37.33,"08"
-35,174.79,"08"
-29,42.98,"08"
-28,39.83,"08"
-35,142.3,"08"
-33,19.94,"08"
-34,147.23,"08"
-29,33.61,"08"
-34,46.08,"08"
-36,234.73,"08"
-37,87.32,"08"
-30,31.12,"08"
-30,31.08,"08"
-34,45.16,"08"
-34,132.32,"08"
-35,137.62,"08"
-34,22.35,"08"
-34,22.29,"08"
-29,43.7,"08"
-32,26.12,"08"
-35,62.36,"08"
-31,36.08,"08"
-33,29.92,"08"
-33,9.86,"08"
-35,136.63,"08"
-34,190.28,"08"
-30,39.38,"08"
-31,12.35,"08"
-30,53.56,"08"
-32,8.61,"08"
-34,208.87,"08"
-34,33.57,"08"
-33,183.62,"08"
-36,13.94,"08"
-30,28.52,"08"
-34,38.05,"08"
-33,9.11,"08"
-31,73.55,"08"
-35,178.64,"08"
-34,118.6,"08"
-33,106.13,"08"
-31,22.33,"08"
-32,42.34,"08"
-35,166.06,"08"
-34,142.95,"08"
